datetime,DO_mgL,Temp_C,buoy
2022-08-22T14:00:00Z,8.027,25.063,deep
2022-08-22T14:15:00Z,8.039,24.987,deep
2022-08-22T14:30:00Z,8.058,24.979,deep
2022-08-22T15:00:00Z,8.242,24.248,deep
2022-08-22T15:15:00Z,7.79,30.125,deep
2022-08-22T15:30:00Z,7.495,29.78,deep
2022-08-22T16:00:00Z,9.328,26.818,deep
2022-08-22T16:15:00Z,9.749,25.45,deep
2022-08-22T16:30:00Z,9.791,25.383,deep
2022-08-22T17:00:00Z,9.849,25.349,deep
2022-08-22T17:15:00Z,9.874,25.315,deep
2022-08-22T17:30:00Z,9.901,25.34,deep
2022-08-22T18:00:00Z,9.971,25.332,deep
2022-08-22T18:15:00Z,9.958,25.307,deep
2022-08-22T18:30:00Z,10.039,25.265,deep
2022-08-22T19:00:00Z,10.062,25.248,deep
2022-08-22T19:15:00Z,10.02,25.206,deep
2022-08-22T19:30:00Z,10.039,25.197,deep
2022-08-22T20:00:00Z,3.292,25.139,deep
2022-08-22T20:15:00Z,9.957,25.097,deep
2022-08-22T20:30:00Z,9.971,25.038,deep
2022-08-22T21:00:00Z,9.954,24.979,deep
2022-08-22T21:15:00Z,9.918,24.954,deep
2022-08-22T21:30:00Z,9.903,24.92,deep
2022-08-22T22:00:00Z,9.913,24.861,deep
2022-08-22T22:15:00Z,9.905,24.828,deep
2022-08-22T22:30:00Z,9.905,24.794,deep
2022-08-22T23:00:00Z,9.888,24.735,deep
2022-08-22T23:15:00Z,9.856,24.66,deep
2022-08-22T23:30:00Z,9.817,24.676,deep
2022-08-23T00:00:00Z,9.827,24.567,deep
2022-08-23T00:15:00Z,9.799,24.559,deep
2022-08-23T00:30:00Z,9.803,24.517,deep
2022-08-23T01:00:00Z,9.777,24.475,deep
2022-08-23T01:15:00Z,9.728,24.45,deep
2022-08-23T01:30:00Z,9.747,24.425,deep
2022-08-23T02:00:00Z,9.726,24.391,deep
2022-08-23T02:15:00Z,9.763,24.383,deep
2022-08-23T02:30:00Z,9.694,24.358,deep
2022-08-23T03:00:00Z,9.685,24.299,deep
2022-08-23T03:15:00Z,9.693,24.282,deep
2022-08-23T03:30:00Z,9.667,24.248,deep
2022-08-23T04:00:00Z,9.629,24.207,deep
2022-08-23T04:15:00Z,9.618,24.181,deep
2022-08-23T04:30:00Z,9.568,24.156,deep
2022-08-23T05:00:00Z,9.583,24.114,deep
2022-08-23T05:15:00Z,9.569,24.089,deep
2022-08-23T05:30:00Z,9.557,24.089,deep
2022-08-23T06:00:00Z,9.545,24.005,deep
2022-08-23T06:15:00Z,9.545,23.972,deep
2022-08-23T06:30:00Z,9.532,23.947,deep
2022-08-23T07:00:00Z,9.521,23.922,deep
2022-08-23T07:15:00Z,9.565,23.896,deep
2022-08-23T07:30:00Z,9.559,23.905,deep
