Date,Site,Depth,Temp_C,P_mmHG,DO_perc,DO_mgL,Conductivity,pH,Chlorophyll,PC
22-06-01,1,0,20.8,739,105.5,9.42,811,8.63,5.55,0.13
22-06-01,1,0.5,20.8,739.3,104.9,9.37,811,8.62,5.43,0.1
22-06-01,1,0.75,20.8,739.2,105.4,9.41,811,8.63,7.81,0.23
22-06-01,1,1,20.8,739.2,105.8,9.44,811,8.64,6.45,0.16
22-06-01,1,1.25,20.8,739.2,106.1,9.47,811,8.63,7.2,0.19
22-06-01,1,1.5,20.8,739.2,105.8,9.45,811,8.63,7.7,0.25
22-06-01,1,1.75,20.8,739.1,106,9.46,811,8.63,7.49,0.2
22-06-01,1,2,20.8,739.3,106.1,9.48,811,8.63,7.35,0.18
22-06-01,1,2.25,20.8,739.2,105.8,9.45,811,8.63,6.92,0.12
22-06-01,1,2.5,20.8,739.2,106.3,9.49,811,8.63,6.96,0.14
22-06-01,1,2.75,20.8,739.2,106.3,9.48,811,8.63,7.14,0.13
22-06-01,1,3,20.8,739.3,104.5,9.34,811,8.62,7.45,0.12
22-06-01,1,3.25,20.7,739.2,102.4,9.11,811,8.59,8.73,0.25
22-06-01,1,3.5,19.9,739.2,49.1,4.48,827,8.12,23.15,2.02
22-06-01,2,0,21.1,739,175.6,15.61,760,8.82,7.23,0.21
22-06-01,3,0,20.8,738.7,151.8,13.56,812,8.71,3.41,0.02
22-06-01,3,0.5,20.7,738.9,153.9,13.88,820,8.66,9.36,0.42
22-06-01,3,0.75,20.7,738.9,178.8,16.01,822,8.88,6.86,0.26
22-06-01,4,0,21.7,738.7,156,14.01,797,8.82,5.18,0.08
22-06-01,4,0.5,21.3,738.6,140.7,12.44,803,8.76,7.67,0.46
22-06-01,4,0.75,21.3,738.6,145.3,12.84,792,8.8,10.84,1.68
22-06-01,4,1,21,738.7,144,12.74,803,8.75,9.19,0.62
22-06-01,4,1.25,20.9,738.6,134,11.96,804,8.73,10.06,0.67
22-06-06,1,0,21.1,731.2,113.4,10.06,804,8.6,10.82,0.43
22-06-06,1,0.5,21.1,731.2,113.5,10.07,804,8.6,10.69,0.44
22-06-06,1,0.75,21.1,731.2,113.5,10.08,804,8.6,12.37,0.51
22-06-06,1,1,21.1,731.2,113.3,10.07,804,8.59,12.51,0.52
22-06-06,1,1.25,21,731.2,113,10.05,804,8.59,12.64,0.48
22-06-06,1,1.5,21,731.2,112.5,10.02,804,8.59,13.07,0.5
22-06-06,1,1.75,21,731.2,112.4,10.01,805,8.58,12.6,0.51
22-06-06,1,2,20.9,731.2,111.9,9.97,805,8.58,12.26,0.45
22-06-06,1,2.25,20.9,731.3,111.2,9.91,805,8.57,12.2,0.41
22-06-06,1,2.5,20.9,731.2,110.7,9.86,805,8.5,11.55,0.35
22-06-06,1,2.75,20.8,731.2,108.5,9.66,805,8.55,10.15,0.15
22-06-06,1,3,20.1,731.2,66.2,5.82,834,7.98,8.19,0.06
22-06-06,1,3.25,19.5,731.2,73.5,6.89,880,7.89,7.58,0
22-06-06,2,0,21.1,731.2,176.8,15.7,748,8.9,8.83,0.24
22-06-06,2,0.5,20.7,731.3,199.2,17.87,741,8.92,12.96,0.72
22-06-06,3,0,20.1,731.3,142.8,12.84,797,8.3,12.87,0.58
22-06-06,3,0.5,19.8,731.2,193.7,17.71,984,8.38,5.18,0.01
22-06-06,4,0,21.3,731.4,162.1,14.35,772,8.81,9.58,0.26
22-06-06,4,0.5,21.2,731.4,163.9,14.58,796,8.82,11.2,0.43
22-06-06,4,0.75,21.1,731.4,243.9,20.9,748,9.04,6.18,0.04
22-06-06,5,0,20.7,731.2,104,9.31,807,8.55,12.95,0.46
22-06-06,5,0.5,20.6,731.2,103.8,9.3,807,8.55,12.03,0.42
22-06-06,5,0.75,20.7,731.2,104.1,9.32,807,8.55,12.37,0.45
22-06-06,5,1,20.7,731.2,103.2,9.32,807,8.54,12.35,0.45
22-06-06,5,1.25,20.6,731.3,103.6,9.28,807,8.53,12.4,0.43
22-06-06,5,1.5,20.6,731.2,103.5,9.27,807,8.52,12.48,0.42
22-06-06,5,1.75,20.6,731.3,102.3,9.17,807,8.51,13.05,0.43
22-06-06,5,2,20.6,731.3,101.2,9.07,807,8.5,13.71,0.47
22-06-06,5,2.25,20.6,731.3,99.3,8.91,807,8.49,13.36,0.42
22-06-06,5,2.5,20.5,731.2,96.5,8.66,806,8.47,12.58,0.38
22-06-06,5,2.75,20.4,731.3,89.6,8.06,807,8.42,11.85,0.25
22-06-06,5,3,20.4,731.2,76.3,6.88,810,8.33,10.44,0.23
22-06-06,6,0,20.7,731.2,107.4,9.61,794,8.58,8.1,0.19
22-06-06,6,0.5,20.7,731.3,108.2,9.67,794,8.57,8.25,0.21
22-06-06,6,0.75,20.7,731.4,109.7,9.81,793,8.58,8.1,0.19
22-06-06,6,1,20.7,731.4,110.9,9.96,791,8.58,8.09,0.27
22-06-06,6,1.25,20.7,731.4,112.1,10.05,790,8.58,8.4,0.17
22-06-06,6,1.5,20.6,731.4,114.4,10.26,785,8.58,7.85,0.1
22-06-06,6,1.75,20.5,731.4,113.3,10.18,782,8.56,15.62,0.47
22-06-06,7,0,20.8,731.3,130.7,11.67,791,8.68,9.09,0.27
22-06-06,7,0.5,20.8,731.3,133.3,11.92,791,8.68,9.18,0.27
22-06-06,7,0.75,20.8,731.3,134.2,11.98,790,8.68,9.15,0.31
22-06-06,7,1,20.8,731.4,136,12.15,790,8.69,9.09,0.29
22-06-06,7,1.25,20.5,731.4,147,13.2,782,8.74,6.96,0.01
22-06-06,7,1.5,20.3,731.3,127.4,11.59,783,8.66,5.87,0.03
22-06-06,8,0,21,731.2,124.1,11.07,776,8.68,4,-0.04
22-06-06,8,0.5,20.8,731.2,122.4,10.93,776,8.61,5.11,0.05
22-06-09,1,0,20.3,737.8,97.7,8.8,800,8.47,7.14,0.22
22-06-09,1,0.5,20.3,737.9,97.7,8.81,800,8.47,7.49,0.25
22-06-09,1,0.75,20.3,737.8,97.9,8.83,800,8.47,7.68,0.28
22-06-09,1,1,20.3,737.8,98.5,8.89,800,8.48,10.01,0.39
22-06-09,1,1.25,20.2,737.8,99.2,8.96,800,8.49,11.92,0.49
22-06-09,1,1.5,20.2,737.8,99.6,9.01,800,8.49,11.3,0.45
22-06-09,1,1.75,20.2,737.8,99.8,9.03,800,8.5,12.05,0.47
22-06-09,1,2,20.1,737.8,100,9.06,799,8.5,12.49,0.5
22-06-09,1,2.25,20,737.8,100.1,9.08,797,8.5,12.39,0.49
22-06-09,1,2.5,20,737.8,99.8,9.06,797,8.5,11.86,0.47
22-06-09,1,2.75,20,737.8,99.6,9.04,796,8.5,12.6,0.52
22-06-09,1,3,19.9,737.6,99.3,9.02,796,8.5,12.5,0.5
22-06-09,1,3.25,19.9,737.8,96.3,8.77,794,8.48,13.36,0.64
22-06-09,1,3.5,19.8,737.8,94.8,8.64,794,8.47,14.84,0.83
22-06-09,2,0,19.3,737.8,129.7,11.92,737,8.7,3.42,-0.01
22-06-09,3,0,18.8,737.8,116.3,10.81,656,8.43,15.87,1.87
22-06-09,3,0.5,18.1,737.8,114.2,10.82,699,8.38,13.91,1.69
22-06-09,3,0.75,15.7,737.8,95.7,9.5,710,7.88,9.23,0.72
22-06-09,3,1,15.4,737.8,99.6,9.96,734,7.88,7.87,0.88
22-06-09,4,0,20.5,737.8,122.1,10.98,777,8.62,4.4,0.03
22-06-09,4,0.5,20.4,737.8,121,10.91,777,8.61,5.34,0.04
22-06-09,4,0.75,20.3,737.8,129.4,11.68,777,8.62,5.97,0.19
22-06-09,4,1,19.9,737.8,171.5,15.75,766,8.9,3.35,-0.03
22-06-09,4,1.25,19.8,737.8,142.6,13.04,760,8.86,4.46,0.02
22-06-09,5,0,20.7,737.8,96.4,8.63,801,8.47,5.75,0.11
22-06-09,5,0.5,20.7,737.8,96.4,8.63,801,8.47,7.36,0.19
22-06-09,5,0.75,20.7,737.8,96.3,8.63,801,8.47,8.08,0.22
22-06-09,5,1,20.6,737.9,96,8.61,801,8.47,9.49,0.27
22-06-09,5,1.25,20.6,737.9,96,8.61,801,8.47,11.15,0.3
22-06-09,5,1.5,20.6,737.9,95.6,8.58,801,8.46,11.22,0.31
22-06-09,5,1.75,20.5,737.9,95.2,8.55,801,8.46,10.89,0.29
22-06-09,5,2,20.3,737.9,93.3,8.43,800,8.46,11.33,0.32
22-06-09,5,2.25,20.1,737.9,86.2,7.82,800,8.43,12.01,0.4
22-06-09,5,2.5,20,737.9,80.3,7.31,799,8.4,13.01,0.49
22-06-09,6,0,20.4,737.8,102.9,9.26,790,8.53,4.37,0.04
22-06-09,6,0.5,20.4,737.8,103.1,9.28,790,8.54,6.01,0.07
22-06-09,6,0.75,20.4,737.8,104.8,9.44,788,8.54,5.65,0.09
22-06-09,6,1,20.4,737.8,104.9,9.47,788,8.55,6.68,0.2
22-06-09,6,1.25,20.1,737.8,122.7,11.11,776,8.67,5.44,0.04
22-06-09,6,1.5,19.7,737.8,138.1,12.61,757,8.75,3.97,-0.02
22-06-09,6,1.75,19.6,737.8,117.6,10.76,760,8.66,2.91,-0.03
22-06-09,7,0,20.5,737.9,123.3,11.08,779,8.63,4.61,0.02
22-06-09,7,0.5,20.5,737.8,123.7,11.11,779,8.62,4.6,0.07
22-06-09,7,0.75,20.5,737.8,124.4,11.18,779,8.63,4.65,0.05
22-06-09,7,1,20.5,737.9,125.2,11.25,779,8.63,5.53,0.06
22-06-09,7,1.25,20.5,737.9,126.3,11.36,778,8.64,5.75,0.08
22-06-09,7,1.5,20.5,737.9,130.2,11.7,777,8.65,5.66,0.12
22-06-09,7,1.75,20.4,737.9,150.2,13.57,765,8.83,5.7,0.1
22-06-09,7,2,19.1,737.9,152.5,14.1,751,8.81,4.25,0.06
22-06-09,8,0,20.5,737.8,104.2,9.35,792,8.52,5.7,0.11
22-06-09,8,0.5,20.3,737.8,108.2,9.73,791,8.56,7.31,0.21
22-06-09,8,0.75,20.1,737.8,118.5,10.77,783,8.64,8.63,0.14
22-06-09,8,1,19.5,737.8,147.2,13.49,771,8.73,7.81,0.15
22-06-09,8,1.25,19.2,737.8,126.4,11.63,770,8.68,8.67,0.32
22-06-09,8,1.5,19.2,737.8,101.4,9.5,777,8.44,7.44,0.04
22-06-13,1,0,21.2,734.5,123.6,10.95,785,8.66,14.46,0.38
22-06-13,1,0.5,21.2,734.4,124.7,11.06,785,8.66,15.77,0.43
22-06-13,1,0.75,21.1,734.4,124.8,11.08,785,8.66,15.96,0.47
22-06-13,1,1,21.1,734.4,124.9,11.08,785,8.66,15.52,0.41
22-06-13,1,1.25,21,734.4,124.7,11.08,785,8.66,17.03,0.42
22-06-13,1,1.5,21,734.3,124.4,11.06,785,8.66,16.88,0.39
22-06-13,1,1.75,20.9,734.3,123.2,10.99,785,8.66,18.2,0.34
22-06-13,1,2,20.8,734.3,122.3,10.9,785,8.65,18.38,0.39
22-06-13,1,2.25,20.7,734.3,117.8,10.53,785,8.62,22.55,0.42
22-06-13,1,2.5,20.5,734.5,104.2,9.32,788,8.49,18.56,0.37
22-06-13,1,2.75,20.3,734.5,70.7,6.37,791,8.2,11.64,0.27
22-06-13,1,3,20.2,734.5,58.8,5.3,789,8.07,10.15,0.26
22-06-13,1,3.25,19.9,734.6,59,5.37,777,7.93,8.23,0.15
22-06-13,2,0,21.4,734.5,238.1,21.16,715,9.09,3.12,-0.03
22-06-13,3,0,21.7,734,139,12.16,802,8.47,9.82,0.4
22-06-13,3,0.5,21.5,734.2,127.6,11.23,811,8.37,12.78,0.66
22-06-13,3,0.75,21.1,734.4,110,9.73,831,8.12,13.51,0.58
22-06-13,3,1,20.8,734.5,92.8,8.3,838,7.96,9.69,0.47
22-06-13,4,0,21.6,734.4,142.1,12.49,778,8.78,17.19,0.22
22-06-13,4,0.5,21.6,734.5,143.2,12.58,778,8.78,16.68,0.22
