datetime,Temp_C,Light_lum/ft2,depth
6/21/22 14:00,28.159,5632,0
6/21/22 14:30,28.06,14336,0
6/21/22 15:00,28.357,2944,0
6/21/22 15:30,28.357,3584,0
6/21/22 16:00,27.961,4352,0
6/21/22 16:30,28.357,2944,0
6/21/22 17:00,28.06,1856,0
6/21/22 17:30,27.764,1920,0
6/21/22 18:00,27.764,960,0
6/21/22 18:30,27.567,768,0
6/21/22 19:00,26.879,160,0
6/21/22 19:30,27.075,576,0
6/21/22 20:00,26.879,208,0
6/21/22 20:30,27.075,31,0
6/21/22 21:00,27.37,0,0
6/21/22 21:30,27.173,0,0
6/21/22 22:00,27.075,0,0
6/21/22 22:30,26.879,0,0
6/21/22 23:00,26.585,0,0
6/21/22 23:30,26.39,0,0
6/22/22 0:00,26.195,0,0
6/22/22 0:30,26,0,0
6/22/22 1:00,25.902,0,0
6/22/22 1:30,25.708,0,0
6/22/22 2:00,25.61,0,0
6/22/22 2:30,25.513,0,0
6/22/22 3:00,25.416,0,0
6/22/22 3:30,25.319,0,0
6/22/22 4:00,25.319,0,0
6/22/22 4:30,25.125,0,0
6/22/22 5:00,25.125,0,0
6/22/22 5:30,25.028,26,0
6/22/22 6:00,24.931,75,0
6/22/22 6:30,24.835,91,0
6/22/22 7:00,24.738,120,0
6/22/22 7:30,24.738,168,0
6/22/22 8:00,24.835,240,0
6/22/22 8:30,24.835,208,0
6/22/22 9:00,25.028,304,0
6/22/22 9:30,25.319,480,0
6/22/22 10:00,25.61,448,0
6/22/22 10:30,25.708,464,0
6/22/22 11:00,25.805,416,0
6/22/22 11:30,26.097,256,0
6/22/22 12:00,26.39,216,0
6/22/22 12:30,26.585,288,0
6/22/22 13:00,26.879,464,0
6/22/22 13:30,27.173,304,0
6/22/22 14:00,27.468,384,0
6/22/22 14:30,27.665,272,0
6/22/22 15:00,27.862,216,0
6/22/22 15:30,28.06,1216,0
6/22/22 16:00,28.258,1152,0
6/22/22 16:30,28.357,480,0
6/22/22 17:00,28.357,272,0
6/22/22 17:30,28.357,576,0
6/22/22 18:00,28.357,216,0
6/22/22 18:30,28.258,48,0
6/22/22 19:00,28.06,59,0
6/22/22 19:30,27.862,48,0
6/22/22 20:00,27.764,37,0
6/22/22 20:30,27.567,8,0
6/22/22 21:00,27.468,0,0
6/22/22 21:30,27.272,0,0
6/22/22 22:00,27.173,0,0
6/22/22 22:30,26.977,0,0
6/22/22 23:00,26.977,0,0
6/22/22 23:30,26.781,0,0
6/23/22 0:00,26.683,0,0
6/23/22 0:30,26.585,0,0
6/23/22 1:00,26.585,0,0
6/23/22 1:30,26.488,0,0
6/23/22 2:00,26.292,0,0
6/23/22 2:30,26.292,0,0
6/23/22 3:00,26.195,0,0
6/23/22 3:30,26.097,0,0
6/23/22 4:00,25.902,0,0
6/23/22 4:30,25.805,0,0
6/23/22 5:00,25.708,0,0
6/23/22 5:30,25.513,7,0
6/23/22 6:00,25.416,24,0
6/23/22 6:30,25.319,35,0
6/23/22 7:00,25.319,71,0
6/23/22 7:30,25.319,192,0
6/23/22 8:00,25.416,192,0
6/23/22 8:30,25.513,256,0
6/23/22 9:00,25.708,126,0
6/23/22 9:30,25.902,121,0
6/23/22 10:00,27.37,8,0
6/23/22 10:30,26.585,896,0
6/23/22 11:00,26.879,768,0
6/23/22 11:30,27.173,800,0
6/23/22 12:00,27.567,864,0
6/23/22 12:30,27.961,768,0
6/23/22 13:00,28.456,496,0
6/23/22 13:30,28.555,272,0
6/23/22 14:00,28.754,272,0
6/23/22 14:30,29.552,1344,0
6/23/22 15:00,29.452,576,0
6/23/22 15:30,29.552,496,0
6/23/22 16:00,29.652,480,0
6/23/22 16:30,29.652,136,0
6/23/22 17:00,29.652,83,0
6/23/22 17:30,29.652,58,0
6/23/22 18:00,29.652,35,0
6/23/22 18:30,29.552,24,0
6/23/22 19:00,29.452,14,0
6/23/22 19:30,29.352,7,0
6/23/22 20:00,29.252,2,0
6/23/22 20:30,28.953,0,0
6/23/22 21:00,28.754,0,0
6/23/22 21:30,28.555,0,0
6/23/22 22:00,28.258,0,0
6/23/22 22:30,27.961,0,0
6/23/22 23:00,27.665,0,0
6/23/22 23:30,27.468,0,0
6/24/22 0:00,27.37,0,0
6/24/22 0:30,27.173,0,0
6/24/22 1:00,27.075,0,0
6/24/22 1:30,26.977,0,0
6/24/22 2:00,26.781,0,0
6/24/22 2:30,26.683,0,0
6/24/22 3:00,26.585,0,0
6/24/22 3:30,26.488,0,0
6/24/22 4:00,26.488,0,0
6/24/22 4:30,26.39,0,0
6/24/22 5:00,26.292,0,0
6/24/22 5:30,26.097,0,0
6/24/22 6:00,26.097,2,0
6/24/22 6:30,26,5,0
6/24/22 7:00,26,11,0
6/24/22 7:30,26.097,14,0
6/24/22 8:00,26.292,19,0
6/24/22 8:30,26.292,28,0
6/24/22 9:00,26.39,35,0
6/24/22 9:30,26.585,49,0
6/24/22 10:00,26.781,63,0
6/24/22 10:30,27.075,272,0
6/24/22 11:00,27.272,336,0
6/24/22 11:30,27.468,256,0
6/24/22 12:00,27.764,368,0
6/24/22 12:30,28.06,512,0
6/24/22 13:00,28.456,512,0
6/24/22 13:30,28.456,304,0
6/24/22 14:00,28.655,416,0
6/24/22 14:30,28.754,704,0
6/24/22 15:00,28.853,272,0
6/24/22 15:30,28.853,208,0
6/24/22 16:00,28.853,124,0
