datetime,air_temp,rel_hum,wind_speed,wind_direction,accum_precip
2022-06-01T00:00:00Z,25.8,79,7.7,224,0
2022-06-01T00:05:00Z,25.8,79,6.8,228,0
2022-06-01T00:10:00Z,25.7,78,9.3,237,0
2022-06-01T00:15:00Z,25.7,78,7.9,239,0
2022-06-01T00:20:00Z,25.6,78,6.6,241,0
2022-06-01T00:25:00Z,25.5,78,7.3,246,0
2022-06-01T00:30:00Z,25.5,78,7,266,0
2022-06-01T00:35:00Z,24.9,68,7.2,289,0
2022-06-01T00:40:00Z,24.5,68,6.9,303,0
2022-06-01T00:45:00Z,24.4,68,5.8,303,0
2022-06-01T00:50:00Z,24.3,68,5.6,303,0
2022-06-01T00:55:00Z,24.3,67,4.8,298,0
2022-06-01T01:00:00Z,24.3,66,4.1,296,0
2022-06-01T01:05:00Z,24.2,66,4.2,295,0
2022-06-01T01:10:00Z,24.2,66,3.8,289,0
2022-06-01T01:15:00Z,24.1,65,4.8,281,0
2022-06-01T01:20:00Z,24.1,65,3.8,277,0
2022-06-01T01:25:00Z,24,66,5.2,280,0
2022-06-01T01:30:00Z,24,65,5,284,0
2022-06-01T01:35:00Z,24,65,4.5,281,0
2022-06-01T01:40:00Z,23.9,66,4.3,282,0
2022-06-01T01:45:00Z,23.9,65,4.9,284,0
2022-06-01T01:50:00Z,23.8,66,3.6,287,0
2022-06-01T01:55:00Z,23.7,67,3.6,284,0
2022-06-01T02:00:00Z,23.7,67,2.6,305,0
2022-06-01T02:05:00Z,23.5,67,4.1,306,0
2022-06-01T02:10:00Z,23.5,68,2.5,306,0
2022-06-01T02:15:00Z,23.4,68,2.2,304,0
2022-06-01T02:20:00Z,23.3,68,2.8,280,0
2022-06-01T02:25:00Z,23.4,65,4.2,280,0
2022-06-01T02:30:00Z,23.5,66,2.8,278,0
2022-06-01T02:35:00Z,23.4,66,2.7,263,0
2022-06-01T02:40:00Z,23.4,67,2.7,253,0
2022-06-01T02:45:00Z,23.3,67,2.2,248,0
2022-06-01T02:50:00Z,23.3,68,2.3,244,0
2022-06-01T02:55:00Z,23.2,68,2.6,235,0
2022-06-01T03:00:00Z,23.2,68,3,232,0
2022-06-01T03:05:00Z,23.1,69,3.2,239,0
2022-06-01T03:10:00Z,23.1,68,3.5,246,0
2022-06-01T03:15:00Z,23.2,67,3.6,246,0
2022-06-01T03:20:00Z,23.2,68,3.3,248,0
2022-06-01T03:25:00Z,23.2,67,4,253,0
2022-06-01T03:30:00Z,23.2,66,4.2,256,0
2022-06-01T03:35:00Z,23.2,66,4.1,256,0
2022-06-01T03:40:00Z,23.1,66,4.3,254,0
2022-06-01T03:45:00Z,23.1,66,4.3,258,0
2022-06-01T03:50:00Z,23.1,66,4,261,0
2022-06-01T03:55:00Z,23,66,3.8,265,0
2022-06-01T04:00:00Z,22.9,67,4.1,261,0
2022-06-01T04:05:00Z,22.9,66,4.4,259,0
2022-06-01T04:10:00Z,22.7,67,4.2,263,0
2022-06-01T04:15:00Z,22.7,66,3.8,271,0
2022-06-01T04:20:00Z,22.7,66,4,269,0
2022-06-01T04:25:00Z,22.6,67,3.5,262,0
2022-06-01T04:30:00Z,22.5,68,3.5,251,0
2022-06-01T04:35:00Z,22.3,71,3.4,238,0
2022-06-01T04:40:00Z,22.1,72,4.5,237,0
2022-06-01T04:45:00Z,22.1,72,4.8,248,0
2022-06-01T04:50:00Z,22.1,69,5.2,259,0
2022-06-01T04:55:00Z,22.1,69,4.1,266,0
2022-06-01T05:00:00Z,22,70,3.7,273,0
2022-06-01T05:05:00Z,21.9,68,5.6,279,0
2022-06-01T05:10:00Z,21.9,68,5.5,288,0
2022-06-01T05:15:00Z,21.8,68,6.3,298,0
2022-06-01T05:20:00Z,21.7,68,6,303,0
2022-06-01T05:25:00Z,21.5,70,5.9,311,0
2022-06-01T05:30:00Z,21.1,73,6.2,312,0
2022-06-01T05:35:00Z,20.9,75,5.8,314,0
2022-06-01T05:40:00Z,20.7,75,5.6,311,0
2022-06-01T05:45:00Z,20.6,75,5.2,310,0
2022-06-01T05:50:00Z,20.5,75,5.2,312,0
2022-06-01T05:55:00Z,20.4,75,4.7,315,0
2022-06-01T06:00:00Z,20.3,76,4.3,317,0
2022-06-01T06:05:00Z,20.2,77,4.2,317,0
2022-06-01T06:10:00Z,20.1,78,4.9,316,0
2022-06-01T06:15:00Z,20,78,4.8,318,0
2022-06-01T06:20:00Z,19.8,80,5.2,318,0
2022-06-01T06:25:00Z,19.7,80,5.1,323,0
2022-06-01T06:30:00Z,19.6,81,5.5,328,0
2022-06-01T06:35:00Z,19.5,81,5.7,327,0
2022-06-01T06:40:00Z,19.4,82,5,325,0
2022-06-01T06:45:00Z,19.2,85,5.8,320,0
2022-06-01T06:50:00Z,19.1,85,6,320,0
2022-06-01T06:55:00Z,19,86,5.9,318,0
2022-06-01T07:00:00Z,18.8,87,6.6,326,0
2022-06-01T07:05:00Z,18.6,86,7,330,0
2022-06-01T07:10:00Z,18.5,87,6.7,329,0
2022-06-01T07:15:00Z,18.3,88,6.5,329,0
2022-06-01T07:20:00Z,18.2,89,5,325,0
2022-06-01T07:25:00Z,18.1,91,3.3,319,0
2022-06-01T07:30:00Z,17.9,92,4,309,0
2022-06-01T07:35:00Z,17.9,90,4.2,309,0
2022-06-01T07:40:00Z,17.8,90,4.2,309,0
2022-06-01T07:45:00Z,17.7,89,5.1,310,0
2022-06-01T07:50:00Z,17.7,88,5.2,308,0
2022-06-01T07:55:00Z,17.6,88,4.2,309,0
2022-06-01T08:00:00Z,17.5,87,4.6,304,0
2022-06-01T08:05:00Z,17.4,86,4.8,304,0
2022-06-01T08:10:00Z,17.3,85,4,305,0
2022-06-01T08:15:00Z,17.1,85,5.5,307,0
2022-06-01T08:20:00Z,17,86,5.9,300,0
2022-06-01T08:25:00Z,16.9,86,6.2,305,0
2022-06-01T08:30:00Z,16.8,86,5.3,305,0
